GATE_5W_SB: 630><-1648.5><372><-1136><0><
Connection: 5W_A23,5W_A35,24,5,33,29,3,1
Connection: 5W_A25,5W_B23X,23,25,12,7,1,3
Connection: 5W_A25,5W_B24,35,18,5,24,0,2
Connection: 5W_A26,5W_B24,9,29,79,6,1,3
Connection: 5W_A27,5W_B23X,17,5,71,26,2,1
Connection: 5W_A28,5W_B28,8,14,83,15,2,0
Connection: 5W_A29,5W_B30,13,17,93,9,2,0
Connection: 5W_A31,5W_C17,12,24,80,13,1,2
Connection: 5W_A31,5W_B28,39,19,10,10,0,2
Connection: 5W_A31,5W_B29,7,7,86,14,3,0
Connection: 5W_B03,5W_B04,90,5,11,3,3,3
Connection: 5W_B04,5W_C07,88,10,15,10,0,2
Connection: 5W_B09X,5W_B10,94,23,8,6,0,3
Connection: 5W_B09X,5W_C10,12,24,67,6,2,3
Connection: 5W_B10,5W_B11,8,52,64,7,2,3
Connection: 5W_B12,5W_C11,13,65,72,5,2,3
Connection: 5W_B13,5W_B14,93,16,6,30,0,2
Connection: 5W_B14,5W_OUTSIDE1,86,19,3,12,0,2
Connection: 5W_B14,5W_OUTSIDE2,4,17,86,8,2,0
Connection: 5W_B14,5W_C13,22,12,68,29,3,1
Connection: 5W_B15,5W_C12,9,57,26,15,2,0
Connection: 5W_B15,5W_C10,9,10,92,48,2,0
Connection: 5W_B18,5W_C15,21,5,118,58,3,0
Connection: 5W_B20,5W_D02,92,12,12,10,0,2
Connection: 5W_B22,5W_D01,12,13,87,52,2,0
Connection: 5W_B23X,5W_D02,8,25,188,25,2,0
Connection: 5W_B23X,5W_B25,84,20,14,15,0,2
Connection: 5W_B24,5W_B25,84,22,25,14,0,3
Connection: 5W_B28,5W_B30,23,22,8,18,1,2
Connection: 5W_C01,5W_C02X,26,100,130,8,1,3
Connection: 5W_C02X,5W_C07,143,14,48,16,0,2
Connection: 5W_C04,5W_C06X,14,4,74,69,3,1
Connection: 5W_C12,5W_C13,8,85,86,10,2,0
Connection: 5W_C14,5W_D01,10,50,22,8,1,3
Connection: 5W_C17,5W_D02,91,22,159,8,0,3
Connection: 5W_D01,5W_OUTSIDE1,81,93,38,10,0,0
Connection: 5W_OUTSIDE2,5W_OUTSIDE5,14,13,9,14,2,3
Connection: 5W_OUTSIDE5,5W_OUTSIDE6,39,22,14,2,0,3
